reaction	linear_coefficient
MAR03905	0.002855946330829352
MAR03907	0.0023676999316709227
MAR04097	0.0011781167233977361
MAR04099	8.356025542758606e-05
MAR04108	0.0011781167233977361
MAR04133	0.0011781167233977361
MAR04281	0.026055584588077184
MAR04388	0.026055584588077184
MAR04283	0.003082870860214714
MAR08357	0.0032226088056821144
MAR04379	0.006359513980389094
MAR04301	0.006359513980389094
MAR04355	0.001846176521971913
MAR04358	0.06098433122093839
MAR04360	0.0005423757995334814
MAR04363	0.03789788666579302
MAR04365	0.023037135996133
MAR04368	0.012489485251860149
MAR04370	0.0008110635229743315
MAR04371	0.023037135996133
MAR04372	0.0008110635229743315
MAR04373	0.049489136764713296
MAR04375	0.001846176521971913
MAR04377	0.000490355215585977
MAR04381	0.002802820591472077
MAR04391	0.02294936884478695
MAR04394	0.0032333521240778336
MAR04396	0.0015036699114788358
MAR04521	0.0008045569630834912
MAR06412	0.002792267345267816
MAR07745	0.00013431805588968662
MAR07747	0.001776218407850148
MAR08360	0.0021100144998001174
MAR08652	0.0008045569630834912
MAR08757	6.346528985521397e-05
MAR03989	0.0005545426849990112
MAR04122	0.0014428111726091665
MAR04837	8.652411761261409e-05
MAR05395	0.0012225770888569494
MAR05396	0.0019822778989622165
MAR09727	0.0019822778989622165
MAR05397	4.710125979021342e-05
MAR05398	0.01912359096251201
MAR05399	0.00043690726666900637
MAR05400	0.00043690726666900637
MAR05401	0.01912359096251201
MAR08568	3.394650667867715e-05
MAR08569	3.394650667867715e-05
MAR08570	3.394650667867715e-05
MAR08571	3.394650667867715e-05
MAR08572	3.394650667867715e-05
MAR08573	3.394650667867715e-05
MAR08574	3.394650667867715e-05
MAR08575	3.394650667867715e-05
MAR08576	3.394650667867715e-05
MAR08577	3.394650667867715e-05
MAR08578	3.394650667867715e-05
MAR08579	3.394650667867715e-05
MAR08581	3.394650667867715e-05
MAR08591	0.0003209288104652164
MAR08592	0.0005545426849990112
MAR08580	3.394650667867715e-05
MAR08582	3.394650667867715e-05
MAR08587	0.0003209288104652164
MAR08589	0.0005545426849990112
MAR08583	3.008376356048747e-05
MAR08584	2.911450790225425e-05
MAR08585	0.00014767306662673545
MAR03944	0.0014511509455459937
MAR04128	0.0019077960495224955
MAR04130	0.0007856837184938941
MAR04131	0.00019512894430526802
MAR04132	0.00019512894430526802
MAR04303	0.0005545426849990112
MAR04414	0.0007856837184938941
MAR04415	0.0009317441157222343
MAR04416	0.002999685773457763
MAR04831	6.570980090049546e-05
MAR04832	0.0009317441157222343
MAR07674	0.0021579599508109934
MAR08761	0.0003589544970326525
MAR08762	0.001846176521971913
MAR08764	2.9453832278662977e-05
MAR08766	0.0033228446595844714
MAR08767	0.00019512894430526802
MAR00454	6.570980090049546e-05
MAR04297	0.0027402961418876238
MAR04310	0.0003589544970326525
MAR04315	0.0016959397826180026
MAR04316	0.0033228446595844714
MAR04317	0.0019107827992750057
MAR04318	0.0019107827992750057
MAR04319	0.0032333521240778336
MAR04320	0.0019107827992750057
MAR04356	0.001846176521971913
MAR04383	0.0011486199681585813
MAR04385	0.0008127766924186975
MAR04386	0.00044455946207117437
MAR04387	0.00040364472423053827
MAR04399	6.264778248778759e-05
MAR04400	0.002844468495782622
MAR04401	0.00024413658231568557
MAR04402	0.00021370333577823173
MAR04403	6.570980090049546e-05
MAR04490	0.0032333521240778336
MAR04706	0.0027402961418876238
MAR08768	0.002844468495782622
MAR04590	0.0038963999951850087
MAR04591	0.0007280176563750548
MAR04592	0.0033228446595844714
MAR04593	0.0016959397826180026
MAR04594	0.0003206546102505297
MAR04595	0.00011409695413119323
MAR08341	0.0033228446595844714
MAR08342	6.570980090049546e-05
MAR08344	0.0023676999316709227
MAR08352	4.301137954516864e-05
MAR08353	6.570980090049546e-05
MAR08726	4.3849237187188015e-05
MAR08727	0.002725261140921048
MAR08728	6.570980090049546e-05
MAR08729	0.00036552890170517266
MAR06537	0.0023676999316709227
MAR01568	0.003082870860214714
MAR03853	0.009770557512379648
MAR03854	0.0033228446595844714
MAR03855	0.0033228446595844714
MAR03857	0.00037222752460602137
MAR03859	4.488298151807408e-05
MAR04087	0.0005216114063285357
MAR04089	0.0002817539027268654
MAR04091	0.0005216114063285357
MAR04093	3.1812906933271904e-05
MAR04095	3.1812906933271904e-05
MAR04101	2.911450790225425e-05
MAR04103	0.0010944930756508155
MAR04143	0.0001466760913486704
MAR04193	0.06098433122093839
MAR08497	0.0033228446595844714
MAR08498	6.346528985521397e-05
MAR08499	6.346528985521397e-05
MAR08500	0.0033228446595844714
MAR08501	0.0005352999778687699
MAR08502	0.002855946330829352
MAR08503	0.0032226088056821144
MAR08504	0.0032226088056821144
MAR08506	0.0032226088056821144
MAR08507	0.002855946330829352
MAR08508	0.002855946330829352
MAR08509	0.0033228446595844714
MAR08511	0.00037222752460602137
MAR08512	3.738565898790374e-05
MAR08514	4.488298151807408e-05
MAR08516	0.00032035356127554736
MAR08517	6.570980090049546e-05
MAR04280	0.00037676492805003545
MAR00153	0.0011781167233977361
MAR03212	0.0018263177045703834
MAR03797	0.0011781167233977361
MAR03800	8.34920282854817e-05
MAR04105	0.00010404179570851214
MAR04106	0.00010404179570851214
MAR04107	0.00010404179570851214
MAR04282	7.893578386274055e-05
MAR04331	0.0011781167233977361
MAR04459	0.0011781167233977361
MAR04460	0.0011781167233977361
MAR04464	6.570980090049546e-05
MAR04497	0.004583058235997571
MAR04741	0.0002431478373933223
MAR08078	6.570980090049546e-05
MAR09803	6.570980090049546e-05
MAR09804	0.0034647488251518224
MAR00718	0.0004887963284422824
MAR00719	0.0018225904007595555
MAR01434	0.0010908140706134448
MAR01436	0.00023121654586442074
MAR03163	0.0018263177045703834
MAR04461	0.00015625813591927672
MAR04604	0.0022156688832970155
MAR05351	0.00037676492805003545
MAR07709	9.13845660714257e-05
MAR04052	0.003712804150653237
MAR04304	0.004632453580651135
MAR04350	4.3849237187188015e-05
MAR04351	0.002154554418089565
MAR04352	0.002154554418089565
MAR04354	0.0015036699114788358
MAR04398	0.0012328781617393075
MAR04404	0.004025197386729777
MAR04473	0.006069207956700607
MAR04474	0.006069207956700607
MAR04476	0.000187295635189932
MAR04477	0.001914353148030208
MAR04501	0.004025197386729777
MAR04565	0.00847994347598675
MAR04567	0.006359513980389094
MAR09799	0.00018419169467210638
MAR09800	0.0003589544970326525
MAR04623	0.0004861388441031804
MAR04625	0.0015105169943111499
MAR04710	0.0015036699114788358
MAR04841	0.003082870860214714
MAR08074	4.3849237187188015e-05
MAR08653	0.0015105169943111499
MAR03998	0.0028105680881488106
MAR04000	0.0008476483245554139
MAR04002	0.003589003675990877
MAR04004	0.003589003675990877
MAR04010	0.0027632997336917253
MAR04081	0.0027632997336917253
MAR04082	0.0027632997336917253
MAR04012	0.0013579249013123615
MAR04014	0.0003094463110615321
MAR04020	0.004362517396142784
MAR04022	0.0008476483245554139
MAR04038	0.004749150341819395
MAR04040	0.014965093731135056
