reaction	linear_coefficient
MAR03905	0.0030252016928409677
MAR03907	0.00321423840041873
MAR04097	0.0009559409197925247
MAR04099	0.0001789961088799492
MAR04108	0.0009559409197925247
MAR04133	0.0009559409197925247
MAR04281	0.030575403490925294
MAR04388	0.030575403490925294
MAR04283	0.010443919289222548
MAR08357	0.0032024582666120606
MAR04379	0.007198130461850395
MAR04301	0.007198130461850395
MAR04355	0.0008242393249299766
MAR04358	0.06093341388320984
MAR04360	0.0006846173755311747
MAR04363	0.046679403881307625
MAR04365	0.02413271154830404
MAR04368	0.013104348694612643
MAR04370	0.0008433923688058783
MAR04371	0.02413271154830404
MAR04372	0.0008433923688058783
MAR04373	0.08840956585561356
MAR04375	0.0008242393249299766
MAR04377	0.0006036467621089777
MAR04381	0.0035214177291184247
MAR04391	0.024271498630749042
MAR04394	0.003610097640119944
MAR04396	0.0010345597391009343
MAR04521	0.0009860986305735538
MAR06412	0.0024275466453803447
MAR07745	0.0003574297595414846
MAR07747	0.0013652055351266242
MAR08360	0.0033744146457214256
MAR08652	0.0009860986305735538
MAR08757	6.448008502800297e-05
MAR03989	0.0003994610104549736
MAR04122	0.0010630862910562503
MAR04837	7.473952912010299e-05
MAR05395	0.000897875401912261
MAR05396	0.0022537431627411156
MAR09727	0.0022537431627411156
MAR05397	0.00047096084288344336
MAR05398	0.014595015279142264
MAR05399	0.0005493742168218216
MAR05400	0.0005493742168218216
MAR05401	0.014595015279142264
MAR08568	3.403269217263376e-05
MAR08569	3.403269217263376e-05
MAR08570	3.403269217263376e-05
MAR08571	3.403269217263376e-05
MAR08572	3.403269217263376e-05
MAR08573	3.403269217263376e-05
MAR08574	3.403269217263376e-05
MAR08575	3.403269217263376e-05
MAR08576	3.403269217263376e-05
MAR08577	3.403269217263376e-05
MAR08578	3.403269217263376e-05
MAR08579	3.403269217263376e-05
MAR08581	3.403269217263376e-05
MAR08591	0.00037436241407130653
MAR08592	0.0003994610104549736
MAR08580	3.403269217263376e-05
MAR08582	3.403269217263376e-05
MAR08587	0.00037436241407130653
MAR08589	0.0003994610104549736
MAR08583	3.344025408085852e-05
MAR08584	2.8841287887561833e-05
MAR08585	0.00014094463467408276
MAR03944	0.001308958529256646
MAR04128	0.002725224065984344
MAR04130	0.00043239830637530405
MAR04131	0.0001963636823676423
MAR04132	0.0001963636823676423
MAR04303	0.0003994610104549736
MAR04414	0.00043239830637530405
MAR04415	0.0011194736486495303
MAR04416	0.0018295262994707543
MAR04831	7.456973094148011e-05
MAR04832	0.0011194736486495303
MAR07674	0.0023674322953650554
MAR08761	0.00043920115259726703
MAR08762	0.0008242393249299766
MAR08764	3.0017513104082278e-05
MAR08766	0.0038598311336530897
MAR08767	0.0001963636823676423
MAR00454	7.456973094148011e-05
MAR04297	0.0028907321004827927
MAR04310	0.00043920115259726703
MAR04315	0.001669162161854861
MAR04316	0.0038598311336530897
MAR04317	0.0018724964874196216
MAR04318	0.0018724964874196216
MAR04319	0.003610097640119944
MAR04320	0.0018724964874196216
MAR04356	0.0008242393249299766
MAR04383	0.0008452307392872287
MAR04385	0.0006500191004085507
MAR04386	0.0004066220921639413
MAR04387	0.0004066220921639413
MAR04399	0.0005205751634333717
MAR04400	0.0019991699516675536
MAR04401	0.0002956152747215501
MAR04402	0.0002474143140868893
MAR04403	7.456973094148011e-05
MAR04490	0.003610097640119944
MAR04706	0.0028907321004827927
MAR08768	0.0019991699516675536
MAR04590	0.0035866016115228523
MAR04591	0.0007588356526679322
MAR04592	0.0038598311336530897
MAR04593	0.001669162161854861
MAR04594	0.00010467514407492771
MAR04595	0.00014266404857500082
MAR08341	0.003916009851720319
MAR08342	7.456973094148011e-05
MAR08344	0.00321423840041873
MAR08352	0.00015036640341346185
MAR08353	7.456973094148011e-05
MAR08726	0.00010582230649628411
MAR08727	0.0013800337919790122
MAR08728	7.456973094148011e-05
