reaction	linear_coefficient
MAR03905	0.009376156075405383
MAR03907	0.002989632713151031
MAR04097	0.001187889157379093
MAR04099	0.00018541826870910533
MAR04108	0.001187889157379093
MAR04133	0.001187889157379093
MAR04281	0.032037901836009595
MAR04388	0.032037901836009595
MAR04283	0.0014607221309493673
MAR08357	0.004119748483482751
MAR04379	0.005190604681892992
MAR04301	0.005190604681892992
MAR04355	0.0009281623404336437
MAR04358	0.050475584228246655
MAR04360	0.0010849101424253182
MAR04363	0.04284798603182632
MAR04365	0.02904827302055925
MAR04368	0.012943004566436538
MAR04370	0.000379812204943809
MAR04371	0.02904827302055925
MAR04372	0.000379812204943809
MAR04373	0.1340639486118404
MAR04375	0.0009281623404336437
MAR04377	3.876376698494929e-05
MAR04381	0.003659560713475492
MAR04391	0.026905549975025176
MAR04394	0.008304392400351284
MAR04396	0.0035706858813416846
MAR04521	0.002108171972365961
MAR06412	0.00206334742109719
MAR07745	0.001842158704019943
MAR07747	0.0015225691773524184
MAR08360	0.002339961217501146
MAR08652	0.002108171972365961
MAR08757	4.976051025042157e-05
MAR03989	0.0014320682387781536
MAR04122	0.004626711400604271
MAR04837	0.00040669481124428717
MAR05395	0.008895531414441193
MAR05396	0.008895531414441193
MAR09727	0.003928271690639047
MAR05397	0.0034455363639413093
MAR05398	0.005911060061965088
MAR05399	0.0009204780080722366
MAR05400	0.0009204780080722366
MAR05401	0.005911060061965088
MAR08568	4.127670048243314e-05
MAR08569	4.127670048243314e-05
MAR08570	4.127670048243314e-05
MAR08571	4.127670048243314e-05
MAR08572	4.127670048243314e-05
MAR08573	4.127670048243314e-05
MAR08574	4.127670048243314e-05
MAR08575	4.127670048243314e-05
MAR08576	4.127670048243314e-05
MAR08577	4.127670048243314e-05
MAR08578	4.127670048243314e-05
MAR08579	4.127670048243314e-05
MAR08581	4.127670048243314e-05
MAR08591	0.00036941565492047836
MAR08592	0.0014320682387781536
MAR08580	4.127670048243314e-05
MAR08582	4.127670048243314e-05
MAR08587	0.00036941565492047836
MAR08589	0.0014320682387781536
MAR08583	6.24459998978778e-05
MAR08584	3.876376698494929e-05
MAR08585	0.000724462771230931
MAR03944	0.004019704183803721
MAR04128	0.0011904685058121039
MAR04130	0.001701307544686901
MAR04131	0.0005018264949703563
MAR04132	0.0005018264949703563
MAR04303	0.0014320682387781536
MAR04414	0.001701307544686901
MAR04415	0.00318433967317952
MAR04416	0.004076759125013249
MAR04831	0.00010544374154059859
MAR04832	0.00318433967317952
MAR07674	0.0051159295806803284
MAR08761	7.409409092955173e-05
MAR08762	0.0009281623404336437
MAR08764	3.876376698494929e-05
MAR08766	0.013519912697834655
MAR08767	0.0005018264949703563
MAR00454	0.00010544374154059859
MAR04297	0.001858797382385013
MAR04310	7.409409092955173e-05
MAR04315	0.0004790844548068054
MAR04316	0.013519912697834655
MAR04317	0.0029920786543795336
MAR04318	0.0029920786543795336
MAR04319	0.008304392400351284
MAR04320	0.0029920786543795336
MAR04356	0.0009281623404336437
MAR04383	0.0006721333974706613
MAR04385	0.0013556486757811622
MAR04386	0.0011555783078692054
MAR04387	0.0007202414535110865
MAR04399	0.0001254639797160375
MAR04400	0.00283173047214933
MAR04401	0.0005842762584452554
MAR04402	0.0002806521776250883
MAR04403	0.00010544374154059859
MAR04490	0.008304392400351284
MAR04706	0.001858797382385013
MAR08768	0.00283173047214933
MAR04590	0.00210964223736785
MAR04591	0.0006928432846680516
MAR04592	0.013519912697834655
MAR04593	0.0004790844548068054
MAR04594	6.184901337928256e-05
MAR04595	0.0003291504148499697
MAR08341	0.013519912697834655
MAR08342	0.00010544374154059859
MAR08344	0.002989632713151031
MAR08352	0.0005187920727855887
MAR08353	0.00010544374154059859
MAR08726	0.00012803303471972078
MAR08727	0.0028647776760358334
MAR08728	0.00010544374154059859
MAR08729	0.0013496687467958216
MAR06537	0.002989632713151031
MAR01568	0.0014607221309493673
MAR03853	0.010123102181841108
MAR03854	0.013519912697834655
MAR03855	0.013519912697834655
MAR03857	0.0008182233467086
MAR03859	6.697763091265897e-05
MAR04087	0.0006991021369938959
MAR04089	0.002455814660699782
MAR04091	0.0006991021369938959
MAR04093	3.876376698494929e-05
MAR04095	3.876376698494929e-05
MAR04101	3.876376698494929e-05
MAR04103	0.0008775924235982178
MAR04143	0.0001354323844633445
MAR04193	0.050475584228246655
MAR08497	0.013519912697834655
MAR08498	4.976051025042157e-05
MAR08499	4.976051025042157e-05
MAR08500	0.013519912697834655
MAR08501	0.0021511077140267346
MAR08502	0.009376156075405383
MAR08503	0.004119748483482751
MAR08504	0.004119748483482751
MAR08506	0.004119748483482751
MAR08507	0.009376156075405383
MAR08508	0.009376156075405383
MAR08509	0.013519912697834655
MAR08511	0.0008182233467086
MAR08512	6.697763091265897e-05
MAR08514	6.697763091265897e-05
MAR08516	0.0005257737039289799
MAR08517	0.00010544374154059859
MAR04280	0.0011849197663033253
MAR00153	0.001187889157379093
MAR03212	0.0014043630501241308
MAR03797	0.001187889157379093
MAR03800	0.00021617809216386102
MAR04105	0.00010423921362158784
MAR04106	0.00010423921362158784
MAR04107	0.00010423921362158784
MAR04282	0.00019772869430670988
MAR04331	0.001187889157379093
MAR04459	0.001187889157379093
MAR04460	0.001187889157379093
MAR04464	0.00010544374154059859
MAR04497	0.008127876867171204
MAR04741	0.00039839780629732105
MAR08078	0.00010544374154059859
MAR09803	0.00010544374154059859
MAR09804	0.009376156075405383
MAR00718	0.00020558005337592818
MAR00719	0.0005581643597203546
MAR01434	0.0014860065202056004
MAR01436	0.0004496364191098952
MAR03163	0.0014043630501241308
MAR04461	0.0012147766423229204
MAR04604	0.0013845984427175476
MAR05351	0.0011849197663033253
MAR07709	0.0003913633878133473
MAR04052	0.009484031696930274
MAR04304	0.0074572202317020105
MAR04350	0.00012803303471972078
MAR04351	0.0011257534041781549
MAR04352	0.0011257534041781549
MAR04354	0.0035706858813416846
MAR04398	0.0019767494670585657
MAR04404	0.007346967246835242
MAR04473	0.006326620448301147
MAR04474	0.006326620448301147
MAR04476	0.00017023681267087795
MAR04477	0.002561475568161695
MAR04501	0.007346967246835242
MAR04565	0.010411967959000828
MAR04567	0.005190604681892992
MAR09799	0.00015544847555285556
MAR09800	7.409409092955173e-05
MAR04623	0.0013749503332939042
MAR04625	0.001997035804277248
MAR04710	0.0035706858813416846
MAR04841	0.0014607221309493673
MAR08074	0.00012803303471972078
MAR08653	0.001997035804277248
MAR03998	0.004907972990986488
MAR04000	0.0030602438012986483
MAR04002	0.004039519871804726
MAR04004	0.004039519871804726
MAR04010	0.020533764367148426
MAR04081	0.020533764367148426
MAR04082	0.020533764367148426
MAR04012	0.0019048443047353226
MAR04014	0.0012382246299386395
MAR04020	0.006097303527907069
MAR04022	0.0030602438012986483
MAR04038	0.0053034863440315294
MAR04040	0.008790510923494817
MAR04042	0.0037681758874957864
MAR04046	0.00150389149413875
MAR04048	0.0012382246299386395
MAR04080	0.0022853321714883424
MAR04085	0.004692372919791912
MAR04086	0.004692372919791912
MAR04134	0.004907972990986488
MAR04135	0.006097303527907069
MAR04168	0.0038448683890457136
MAR04171	0.050475584228246655
MAR04290	7.109012018165822e-05
MAR04406	0.0005928578279409517
MAR04412	0.0004725328843382582
MAR04417	0.020533764367148426
MAR04418	0.0022547491458262585
MAR04419	0.0018025971426476213
MAR04421	0.050475584228246655
MAR04449	0.020533764367148426
MAR04450	0.020533764367148426
MAR04451	0.00010544374154059859
MAR04452	0.0022547491458262585
MAR04453	0.00150389149413875
MAR04480	0.004799133870749959
MAR04481	0.0026048128679229707
MAR04482	0.0026048128679229707
MAR04486	0.008304392400351284
MAR04487	0.008304392400351284
MAR04488	0.008304392400351284
MAR04489	0.008304392400351284
MAR04492	0.008304392400351284
MAR04493	0.008304392400351284
MAR04495	0.008304392400351284
MAR04496	0.008304392400351284
MAR04518	3.954828891436633e-05
MAR04519	0.00018451622589370703
MAR04520	0.00018451622589370703
MAR04573	0.050475584228246655
MAR04574	0.002106580487704937
MAR04600	0.0032844883119167957
MAR04602	0.020533764367148426
MAR04603	0.002106580487704937
MAR04611	0.05287639515958092
MAR04612	0.05287639515958092
MAR04614	0.05287639515958092
MAR04615	0.05287639515958092
MAR04617	0.05287639515958092
MAR04618	0.05287639515958092
MAR04619	0.05287639515958092
MAR04621	0.05287639515958092
MAR04632	0.020533764367148426
MAR04646	0.00018451622589370703
MAR04648	0.00018451622589370703
MAR04649	0.00018451622589370703
MAR04650	0.00018451622589370703
MAR04651	0.002106580487704937
MAR04663	0.002106580487704937
MAR04664	0.0022547491458262585
MAR04694	0.0026048128679229707
MAR04695	0.002106580487704937
MAR04705	0.020533764367148426
MAR04709	0.002106580487704937
MAR04799	0.002356189891355381
MAR04802	0.002356189891355381
MAR04804	0.002934545578830965
MAR04808	0.0009407642785913133
MAR04810	0.002934545578830965
MAR04812	0.0004725328843382582
MAR04814	0.0053034863440315294
MAR05301	0.002149278673884193
MAR05353	0.006097303527907069
MAR06601	4.126280965316834e-05
MAR06602	0.015431772749034267
MAR06603	0.015431772749034267
MAR06605	0.00010544374154059859
MAR06606	0.00010544374154059859
MAR06607	0.00010544374154059859
MAR06609	0.00010544374154059859
MAR06610	0.00010544374154059859
MAR06611	0.00010544374154059859
MAR07144	0.0019002022703443577
MAR08755	0.00018451622589370703
MAR09797	0.00010544374154059859
MAR04016	0.00476644967157374
MAR04018	0.00476644967157374
MAR04044	0.00476644967157374
MAR04291	0.00476644967157374
MAR04420	0.00476644967157374
MAR04570	0.00476644967157374
MAR04572	0.00476644967157374
MAR04006	0.00476644967157374
MAR04028	0.00476644967157374
MAR04030	0.00476644967157374
MAR04670	0.00476644967157374
MAR04673	0.00476644967157374
MAR04675	0.00476644967157374
MAR06614	0.00476644967157374
MAR06615	0.00476644967157374
MAR06616	0.00476644967157374
MAR04635	0.00476644967157374
MAR03793	3.876376698494929e-05
MAR03931	0.031087408763314766
MAR03969	0.002149278673884193
MAR03970	0.020533764367148426
MAR04008	0.006968999911835819
MAR04032	0.0024009374621147238
MAR04034	0.0014587381161067156
MAR04036	0.0009223891255923706
MAR04050	0.0014587381161067156
MAR04056	0.020533764367148426
MAR04059	0.004907972990986488
MAR04060	0.004907972990986488
MAR04127	0.0012195102730925625
MAR04177	0.020533764367148426
MAR04179	0.020533764367148426
MAR04182	0.0029920786543795336
MAR04183	7.109012018165822e-05
MAR04192	7.109012018165822e-05
MAR04194	0.0024009374621147238
MAR04210	0.050475584228246655
MAR04211	0.0038448683890457136
MAR04343	0.0008160450524122036
