reaction	linear_coefficient
MAR03905	[3.876376698494929e-05]
MAR03907	[np.float64(0.00010544374154059859)]
MAR04097	[np.float64(0.00010544374154059859)]
MAR04099	[np.float64(0.00010544374154059859)]
MAR04108	[np.float64(0.00010544374154059859)]
MAR04133	[np.float64(0.00010544374154059859)]
MAR04281	[3.876376698494929e-05]
MAR04388	[3.876376698494929e-05]
MAR04283	[np.float64(0.00010544374154059859)]
MAR08357	[np.float64(0.00010544374154059859)]
MAR04379	[np.float64(0.00010544374154059859)]
MAR04301	[np.float64(0.00010544374154059859)]
MAR04355	[np.float64(0.00010544374154059859)]
MAR04358	[3.876376698494929e-05]
MAR04360	[np.float64(0.00010544374154059859)]
MAR04363	[3.876376698494929e-05]
MAR04365	[3.876376698494929e-05]
MAR04368	[3.876376698494929e-05]
MAR04370	[np.float64(0.00010544374154059859)]
MAR04371	[3.876376698494929e-05]
MAR04372	[np.float64(0.00010544374154059859)]
MAR04373	[3.876376698494929e-05]
MAR04375	[np.float64(0.00010544374154059859)]
MAR04377	[0.007948961701127563]
MAR04381	[np.float64(0.00010544374154059859)]
MAR04391	[3.876376698494929e-05]
MAR04394	[3.876376698494929e-05]
MAR04396	[np.float64(0.00010544374154059859)]
MAR04521	[np.float64(0.00010544374154059859)]
MAR06412	[np.float64(0.00010544374154059859)]
MAR07745	[np.float64(0.00010544374154059859)]
MAR07747	[np.float64(0.00010544374154059859)]
MAR08360	[np.float64(0.00010544374154059859)]
MAR08652	[np.float64(0.00010544374154059859)]
MAR08757	[0.006028061981738186]
MAR03989	[np.float64(0.00010544374154059859)]
MAR04122	[np.float64(0.00010544374154059859)]
MAR04837	[np.float64(0.00010544374154059859)]
MAR05395	[3.876376698494929e-05]
MAR05396	[3.876376698494929e-05]
MAR09727	[np.float64(0.00010544374154059859)]
MAR05397	[np.float64(0.00010544374154059859)]
MAR05398	[6.200427646608288e-05]
MAR05399	[np.float64(0.00010544374154059859)]
MAR05400	[np.float64(0.00010544374154059859)]
MAR05401	[6.200427646608288e-05]
MAR08568	[0.007785651957133285]
MAR08569	[0.007785651957133285]
MAR08570	[0.007785651957133285]
MAR08571	[0.007785651957133285]
MAR08572	[0.007785651957133285]
MAR08573	[0.007785651957133285]
MAR08574	[0.007785651957133285]
MAR08575	[0.007785651957133285]
MAR08576	[0.007785651957133285]
MAR08577	[0.007785651957133285]
MAR08578	[0.007785651957133285]
MAR08579	[0.007785651957133285]
MAR08581	[0.007785651957133285]
MAR08591	[np.float64(0.00010544374154059859)]
MAR08592	[np.float64(0.00010544374154059859)]
MAR08580	[0.007785651957133285]
MAR08582	[0.007785651957133285]
MAR08587	[np.float64(0.00010544374154059859)]
MAR08589	[np.float64(0.00010544374154059859)]
MAR08583	[0.005888603686180935]
MAR08584	[0.007948961701127563]
MAR08585	[np.float64(0.00010544374154059859)]
MAR03944	[np.float64(0.00010544374154059859)]
MAR04128	[np.float64(0.00010544374154059859)]
MAR04130	[np.float64(0.00010544374154059859)]
MAR04131	[np.float64(0.00010544374154059859)]
MAR04132	[np.float64(0.00010544374154059859)]
MAR04303	[np.float64(0.00010544374154059859)]
MAR04414	[np.float64(0.00010544374154059859)]
MAR04415	[np.float64(0.00010544374154059859)]
MAR04416	[np.float64(0.00010544374154059859)]
MAR04831	[np.float64(0.00010544374154059859)]
MAR04832	[np.float64(0.00010544374154059859)]
MAR07674	[np.float64(0.00010544374154059859)]
MAR08761	[0.005524185790481424]
MAR08762	[np.float64(0.00010544374154059859)]
MAR08764	[0.007948961701127563]
MAR08766	[3.876376698494929e-05]
MAR08767	[np.float64(0.00010544374154059859)]
MAR00454	[np.float64(0.00010544374154059859)]
MAR04297	[np.float64(0.00010544374154059859)]
MAR04310	[0.005524185790481424]
MAR04315	[np.float64(0.00010544374154059859)]
MAR04316	[3.876376698494929e-05]
MAR04317	[np.float64(0.00010544374154059859)]
MAR04318	[np.float64(0.00010544374154059859)]
MAR04319	[3.876376698494929e-05]
MAR04320	[np.float64(0.00010544374154059859)]
MAR04356	[np.float64(0.00010544374154059859)]
MAR04383	[np.float64(0.00010544374154059859)]
MAR04385	[np.float64(0.00010544374154059859)]
MAR04386	[np.float64(0.00010544374154059859)]
MAR04387	[np.float64(0.00010544374154059859)]
MAR04399	[np.float64(0.00010544374154059859)]
MAR04400	[np.float64(0.00010544374154059859)]
MAR04401	[np.float64(0.00010544374154059859)]
MAR04402	[np.float64(0.00010544374154059859)]
MAR04403	[np.float64(0.00010544374154059859)]
MAR04490	[3.876376698494929e-05]
MAR04706	[np.float64(0.00010544374154059859)]
MAR08768	[np.float64(0.00010544374154059859)]
MAR04590	[np.float64(0.00010544374154059859)]
MAR04591	[np.float64(0.00010544374154059859)]
MAR04592	[3.876376698494929e-05]
MAR04593	[np.float64(0.00010544374154059859)]
MAR04594	[0.005952368293540576]
MAR04595	[np.float64(0.00010544374154059859)]
MAR08341	[3.876376698494929e-05]
MAR08342	[np.float64(0.00010544374154059859)]
MAR08344	[np.float64(0.00010544374154059859)]
MAR08352	[np.float64(0.00010544374154059859)]
MAR08353	[np.float64(0.00010544374154059859)]
MAR08726	[np.float64(0.00010544374154059859)]
MAR08727	[np.float64(0.00010544374154059859)]
MAR08728	[np.float64(0.00010544374154059859)]
MAR08729	[np.float64(0.00010544374154059859)]
MAR06537	[np.float64(0.00010544374154059859)]
MAR01568	[np.float64(0.00010544374154059859)]
MAR03853	[3.876376698494929e-05]
MAR03854	[3.876376698494929e-05]
MAR03855	[3.876376698494929e-05]
MAR03857	[np.float64(0.00010544374154059859)]
MAR03859	[0.005858866671185154]
MAR04087	[np.float64(0.00010544374154059859)]
MAR04089	[np.float64(0.00010544374154059859)]
MAR04091	[np.float64(0.00010544374154059859)]
MAR04093	[0.007948961701127563]
MAR04095	[0.007948961701127563]
MAR04101	[0.007948961701127563]
MAR04103	[np.float64(0.00010544374154059859)]
MAR04143	[np.float64(0.00010544374154059859)]
MAR04193	[3.876376698494929e-05]
MAR08497	[3.876376698494929e-05]
MAR08498	[0.006028061981738186]
MAR08499	[0.006028061981738186]
MAR08500	[3.876376698494929e-05]
MAR08501	[np.float64(0.00010544374154059859)]
MAR08502	[3.876376698494929e-05]
MAR08503	[np.float64(0.00010544374154059859)]
MAR08504	[np.float64(0.00010544374154059859)]
MAR08506	[np.float64(0.00010544374154059859)]
MAR08507	[3.876376698494929e-05]
MAR08508	[3.876376698494929e-05]
MAR08509	[3.876376698494929e-05]
MAR08511	[np.float64(0.00010544374154059859)]
MAR08512	[0.005858866671185154]
MAR08514	[0.005858866671185154]
MAR08516	[np.float64(0.00010544374154059859)]
MAR08517	[np.float64(0.00010544374154059859)]
MAR04280	[np.float64(0.00010544374154059859)]
MAR00153	[np.float64(0.00010544374154059859)]
MAR03212	[np.float64(0.00010544374154059859)]
MAR03797	[np.float64(0.00010544374154059859)]
MAR03800	[np.float64(0.00010544374154059859)]
MAR04105	[0.005220354094359697]
MAR04106	[0.005220354094359697]
MAR04107	[0.005220354094359697]
MAR04282	[np.float64(0.00010544374154059859)]
MAR04331	[np.float64(0.00010544374154059859)]
MAR04459	[np.float64(0.00010544374154059859)]
MAR04460	[np.float64(0.00010544374154059859)]
MAR04464	[np.float64(0.00010544374154059859)]
MAR04497	[3.876376698494929e-05]
MAR04741	[np.float64(0.00010544374154059859)]
MAR08078	[np.float64(0.00010544374154059859)]
MAR09803	[np.float64(0.00010544374154059859)]
MAR09804	[3.876376698494929e-05]
MAR00718	[np.float64(0.00010544374154059859)]
MAR00719	[np.float64(0.00010544374154059859)]
MAR01434	[np.float64(0.00010544374154059859)]
MAR01436	[np.float64(0.00010544374154059859)]
MAR03163	[np.float64(0.00010544374154059859)]
MAR04461	[np.float64(0.00010544374154059859)]
MAR04604	[np.float64(0.00010544374154059859)]
MAR05351	[np.float64(0.00010544374154059859)]
MAR07709	[np.float64(0.00010544374154059859)]
MAR04052	[3.876376698494929e-05]
MAR04304	[4.2118965125785896e-05]
MAR04350	[np.float64(0.00010544374154059859)]
MAR04351	[np.float64(0.00010544374154059859)]
MAR04352	[np.float64(0.00010544374154059859)]
MAR04354	[np.float64(0.00010544374154059859)]
MAR04398	[np.float64(0.00010544374154059859)]
MAR04404	[4.222874442787584e-05]
MAR04473	[4.58066688949901e-05]
MAR04474	[4.58066688949901e-05]
MAR04476	[np.float64(0.00010544374154059859)]
MAR04477	[np.float64(0.00010544374154059859)]
MAR04501	[4.222874442787584e-05]
MAR04565	[3.876376698494929e-05]
MAR04567	[np.float64(0.00010544374154059859)]
MAR09799	[np.float64(0.00010544374154059859)]
MAR09800	[0.005524185790481424]
MAR04623	[np.float64(0.00010544374154059859)]
MAR04625	[np.float64(0.00010544374154059859)]
MAR04710	[np.float64(0.00010544374154059859)]
MAR04841	[np.float64(0.00010544374154059859)]
MAR08074	[np.float64(0.00010544374154059859)]
MAR08653	[np.float64(0.00010544374154059859)]
MAR03998	[np.float64(0.00010544374154059859)]
MAR04000	[np.float64(0.00010544374154059859)]
MAR04002	[np.float64(0.00010544374154059859)]
