reaction	linear_coefficient
MAR03905	0.009242668090335308
MAR03907	0.003413442796784935
MAR04097	0.0011637089184967572
MAR04099	0.0001546221798819167
MAR04108	0.0011637089184967572
MAR04133	0.0011637089184967572
MAR04281	0.03789239928803354
MAR04388	0.03789239928803354
MAR04283	0.0011456683312159623
MAR08357	0.0038857095939221057
MAR04379	0.005238448399435459
MAR04301	0.005238448399435459
MAR04355	0.0008252691775143008
MAR04358	0.0511885515679778
MAR04360	0.0009488105283726931
MAR04363	0.04199136439870916
MAR04365	0.029023489082661866
MAR04368	0.012806200993671392
MAR04370	0.00046932993322330174
MAR04371	0.029023489082661866
MAR04372	0.00046932993322330174
MAR04373	0.14137199884340326
MAR04375	0.0008252691775143008
MAR04377	4.2131772740275936e-05
MAR04381	0.0035422411932685993
MAR04391	0.025588229493169735
MAR04394	0.009502910111042026
MAR04396	0.0030386900146304216
MAR04521	0.0019879817963332634
MAR06412	0.0020800347175927675
MAR07745	0.0013506080852476025
MAR07747	0.0015472499439230399
MAR08360	0.001993075452575728
MAR08652	0.0019879817963332634
MAR08757	4.5942101016318514e-05
MAR03989	0.0014843612262063041
MAR04122	0.004437861104489287
MAR04837	0.0003963042598582823
MAR05395	0.008149766739350441
MAR05396	0.008149766739350441
MAR09727	0.00428228066490067
MAR05397	0.0032840343075371137
MAR05398	0.005658564554630346
MAR05399	0.0007473306337640786
MAR05400	0.0007473306337640786
MAR05401	0.005658564554630346
MAR08568	4.188352170862891e-05
MAR08569	4.188352170862891e-05
MAR08570	4.188352170862891e-05
MAR08571	4.188352170862891e-05
MAR08572	4.188352170862891e-05
MAR08573	4.188352170862891e-05
MAR08574	4.188352170862891e-05
MAR08575	4.188352170862891e-05
MAR08576	4.188352170862891e-05
MAR08577	4.188352170862891e-05
MAR08578	4.188352170862891e-05
MAR08579	4.188352170862891e-05
MAR08581	4.188352170862891e-05
MAR08591	0.0003454612687051193
MAR08592	0.0014843612262063041
MAR08580	4.188352170862891e-05
MAR08582	4.188352170862891e-05
MAR08587	0.0003454612687051193
MAR08589	0.0014843612262063041
MAR08583	5.688068968035318e-05
MAR08584	3.728206335263105e-05
MAR08585	0.000785629067348504
MAR03944	0.004297937242164506
MAR04128	0.0011222384489449455
MAR04130	0.0019045035719707278
MAR04131	0.0005088560404137629
MAR04132	0.0005088560404137629
MAR04303	0.0014843612262063041
MAR04414	0.0019045035719707278
MAR04415	0.003165893444634384
MAR04416	0.004901190005071915
MAR04831	9.858754595081572e-05
MAR04832	0.003165893444634384
MAR07674	0.0044600696559815925
MAR08761	9.67976211706059e-05
MAR08762	0.0008252691775143008
MAR08764	3.908086794887023e-05
MAR08766	0.01551004687875111
MAR08767	0.0005088560404137629
MAR00454	9.858754595081572e-05
MAR04297	0.001880980932448724
MAR04310	9.67976211706059e-05
MAR04315	0.0004993990167468304
MAR04316	0.01551004687875111
MAR04317	0.0024481887566796174
MAR04318	0.0024481887566796174
MAR04319	0.009502910111042026
MAR04320	0.0024481887566796174
MAR04356	0.0008252691775143008
MAR04383	0.0006485837464231871
MAR04385	0.0014005478278888617
MAR04386	0.0010775762355405138
