reaction	linear_coefficient
MAR03905	[3.728206335263105e-05]
MAR03907	[np.float64(9.858754595081572e-05)]
MAR04097	[np.float64(9.858754595081572e-05)]
MAR04099	[np.float64(9.858754595081572e-05)]
MAR04108	[np.float64(9.858754595081572e-05)]
MAR04133	[np.float64(9.858754595081572e-05)]
MAR04281	[3.728206335263105e-05]
MAR04388	[3.728206335263105e-05]
MAR04283	[np.float64(9.858754595081572e-05)]
MAR08357	[np.float64(9.858754595081572e-05)]
MAR04379	[5.777711090937276e-05]
MAR04301	[5.777711090937276e-05]
MAR04355	[np.float64(9.858754595081572e-05)]
MAR04358	[3.728206335263105e-05]
MAR04360	[np.float64(9.858754595081572e-05)]
MAR04363	[3.728206335263105e-05]
MAR04365	[3.728206335263105e-05]
MAR04368	[3.728206335263105e-05]
MAR04370	[np.float64(9.858754595081572e-05)]
MAR04371	[3.728206335263105e-05]
MAR04372	[np.float64(9.858754595081572e-05)]
MAR04373	[3.728206335263105e-05]
MAR04375	[np.float64(9.858754595081572e-05)]
MAR04377	[0.0062946839618430285]
MAR04381	[np.float64(9.858754595081572e-05)]
MAR04391	[3.728206335263105e-05]
MAR04394	[3.728206335263105e-05]
MAR04396	[np.float64(9.858754595081572e-05)]
MAR04521	[np.float64(9.858754595081572e-05)]
MAR06412	[np.float64(9.858754595081572e-05)]
MAR07745	[np.float64(9.858754595081572e-05)]
MAR07747	[np.float64(9.858754595081572e-05)]
MAR08360	[np.float64(9.858754595081572e-05)]
MAR08652	[np.float64(9.858754595081572e-05)]
MAR08757	[0.006177830639118772]
MAR03989	[np.float64(9.858754595081572e-05)]
MAR04122	[np.float64(9.858754595081572e-05)]
MAR04837	[np.float64(9.858754595081572e-05)]
MAR05395	[3.728206335263105e-05]
MAR05396	[3.728206335263105e-05]
MAR09727	[np.float64(9.858754595081572e-05)]
MAR05397	[np.float64(9.858754595081572e-05)]
MAR05398	[5.2037787008389905e-05]
MAR05399	[np.float64(9.858754595081572e-05)]
MAR05400	[np.float64(9.858754595081572e-05)]
MAR05401	[5.2037787008389905e-05]
MAR08568	[0.0062946839618430285]
MAR08569	[0.0062946839618430285]
MAR08570	[0.0062946839618430285]
MAR08571	[0.0062946839618430285]
MAR08572	[0.0062946839618430285]
MAR08573	[0.0062946839618430285]
MAR08574	[0.0062946839618430285]
MAR08575	[0.0062946839618430285]
MAR08576	[0.0062946839618430285]
MAR08577	[0.0062946839618430285]
MAR08578	[0.0062946839618430285]
MAR08579	[0.0062946839618430285]
MAR08581	[0.0062946839618430285]
MAR08591	[np.float64(9.858754595081572e-05)]
MAR08592	[np.float64(9.858754595081572e-05)]
MAR08580	[0.0062946839618430285]
MAR08582	[0.0062946839618430285]
MAR08587	[np.float64(9.858754595081572e-05)]
MAR08589	[np.float64(9.858754595081572e-05)]
MAR08583	[0.005312458535612697]
MAR08584	[0.00762995585464111]
MAR08585	[np.float64(9.858754595081572e-05)]
MAR03944	[np.float64(9.858754595081572e-05)]
MAR04128	[np.float64(9.858754595081572e-05)]
MAR04130	[np.float64(9.858754595081572e-05)]
MAR04131	[np.float64(9.858754595081572e-05)]
MAR04132	[np.float64(9.858754595081572e-05)]
MAR04303	[np.float64(9.858754595081572e-05)]
MAR04414	[np.float64(9.858754595081572e-05)]
MAR04415	[np.float64(9.858754595081572e-05)]
MAR04416	[7.793233686209772e-05]
MAR04831	[np.float64(9.858754595081572e-05)]
MAR04832	[np.float64(9.858754595081572e-05)]
MAR07674	[np.float64(9.858754595081572e-05)]
MAR08761	[0.00459697388961915]
MAR08762	[np.float64(9.858754595081572e-05)]
MAR08764	[0.006361782362284913]
