opt_fraction	R_value	p_value
0.1	0.33081068402597624	2.3117032743949325e-13
0.2	0.33687402779088016	7.893217269307905e-14
0.3	0.33628752476373835	7.759292815997953e-14
0.4	0.3593112483741798	1.1995425737185977e-15
0.5	0.34675571174907077	5.959523690593307e-15
0.6	0.33034360727511647	1.1013445613448116e-13
0.7	0.31742392358759774	3.8264156280537507e-13
0.8	0.24557689550120196	1.2698675737922669e-08
0.9	0.23679844045873222	3.994650610493357e-08
0.35	0.32000995999955395	1.1231150409164703e-12
0.375	0.36206764402371305	8.080360280087883e-16
0.387	0.3560786963483085	2.398296227333474e-15
0.425	0.3401122193133184	3.429237553135487e-14
0.45	0.3379138689505434	3.7599701350111214e-14
0.413	0.3473506298608206	8.404742281676552e-15
