reaction	linear_coefficient
MAR03905	0.008741871681063187
MAR03907	0.0024401932454608754
MAR04097	0.0009358811194465778
MAR04099	0.00018628454721444134
MAR04108	0.0009358811194465778
MAR04133	0.0009358811194465778
MAR04281	0.03782155206956208
MAR04388	0.03782155206956208
MAR04283	0.0010061425608227893
MAR08357	0.0036992168151469516
MAR04379	0.0063811294969161
MAR04301	0.0063811294969161
MAR04355	0.0004482977551028997
MAR04358	0.05706426026152021
MAR04360	0.0009557265938860466
MAR04363	0.046537668731393124
MAR04365	0.025537519814766676
MAR04368	0.013418294665583688
MAR04370	0.0002961729040936551
MAR04371	0.025537519814766676
MAR04372	0.0002961729040936551
MAR04373	0.15197099946866865
MAR04375	0.0004482977551028997
MAR04377	3.6276342614344565e-05
MAR04381	0.003257763475326785
MAR04391	0.023658941609131835
MAR04394	0.008989582822628756
MAR04396	0.00256984528243266
MAR04521	0.0020410980673274274
MAR06412	0.0016283561932360724
MAR07745	0.0010122686655924219
MAR07747	0.0018863188376857585
MAR08360	0.001910082738100258
MAR08652	0.0020410980673274274
MAR08757	4.541777976781661e-05
MAR03989	0.001320764150110464
MAR04122	0.0035824673007364464
MAR04837	0.00039642203434071875
MAR05395	0.006242934448514465
MAR05396	0.006242934448514465
MAR09727	0.00385470182352293
MAR05397	0.005888756559374973
MAR05398	0.0056709174953934295
MAR05399	0.0004708560844899179
MAR05400	0.0004708560844899179
MAR05401	0.0056709174953934295
MAR08568	3.855558799104128e-05
MAR08569	3.855558799104128e-05
MAR08570	3.855558799104128e-05
MAR08571	3.855558799104128e-05
MAR08572	3.855558799104128e-05
MAR08573	3.855558799104128e-05
MAR08574	3.855558799104128e-05
MAR08575	3.855558799104128e-05
MAR08576	3.855558799104128e-05
MAR08577	3.855558799104128e-05
MAR08578	3.855558799104128e-05
MAR08579	3.855558799104128e-05
MAR08581	3.855558799104128e-05
MAR08591	0.0003194657496795233
MAR08592	0.001320764150110464
MAR08580	3.855558799104128e-05
MAR08582	3.855558799104128e-05
MAR08587	0.0003194657496795233
MAR08589	0.001320764150110464
MAR08583	5.9795951091061e-05
MAR08584	3.6276342614344565e-05
MAR08585	0.0005874052687767928
MAR03944	0.0034207145501882227
MAR04128	0.0013598810456826906
MAR04130	0.001289454379933502
MAR04131	0.00040484749336019147
MAR04132	0.00040484749336019147
MAR04303	0.001320764150110464
MAR04414	0.001289454379933502
MAR04415	0.00354326294118644
MAR04416	0.00354326294118644
MAR04831	9.557893847986104e-05
MAR04832	0.00354326294118644
MAR07674	0.00522222147262934
MAR08761	5.9107838480537174e-05
MAR08762	0.0004482977551028997
MAR08764	3.6695616990752936e-05
MAR08766	0.02019762338275996
MAR08767	0.00040484749336019147
MAR00454	9.557893847986104e-05
MAR04297	0.001493250012483449
MAR04310	5.9107838480537174e-05
MAR04315	0.0005196532285428076
MAR04316	0.02019762338275996
MAR04317	0.002596601727826138
MAR04318	0.002596601727826138
MAR04319	0.008989582822628756
MAR04320	0.002596601727826138
MAR04356	0.0004482977551028997
MAR04383	0.0004733207278140267
MAR04385	0.001761233634118061
MAR04386	0.0008124114304746027
MAR04387	0.0006807945214842393
MAR04399	0.0005517415260431278
MAR04400	0.002134182895199941
MAR04401	0.0004087727179315651
MAR04402	0.00023116457449707433
MAR04403	9.557893847986104e-05
MAR04490	0.008989582822628756
MAR04706	0.001493250012483449
MAR08768	0.002134182895199941
MAR04590	0.001652432010691566
MAR04591	0.0006404818146461508
MAR04592	0.02019762338275996
MAR04593	0.0005196532285428076
MAR04594	4.7101964354451405e-05
MAR04595	0.0002754835564429752
MAR08341	0.02019762338275996
MAR08342	9.557893847986104e-05
MAR08344	0.0024401932454608754
MAR08352	0.00036894136665606073
MAR08353	9.557893847986104e-05
MAR08726	0.00010388848042399874
MAR08727	0.0018068511564453178
MAR08728	9.557893847986104e-05
MAR08729	0.001613921321491282
MAR06537	0.0024401932454608754
MAR01568	0.0010061425608227893
MAR03853	0.008321345221030478
MAR03854	0.02019762338275996
MAR03855	0.02019762338275996
MAR03857	0.0007212508867711196
MAR03859	6.870459549857372e-05
MAR04087	0.0004976376501810955
MAR04089	0.0036999062943284663
MAR04091	0.0004976376501810955
MAR04093	3.6276342614344565e-05
MAR04095	3.6276342614344565e-05
MAR04101	3.6276342614344565e-05
MAR04103	0.0013976306889497672
MAR04143	0.00032114573131095304
MAR04193	0.05706426026152021
MAR08497	0.02019762338275996
MAR08498	4.541777976781661e-05
MAR08499	4.541777976781661e-05
MAR08500	0.02019762338275996
MAR08501	0.002232226420740075
MAR08502	0.008741871681063187
MAR08503	0.0032027470443908327
MAR08504	0.0036992168151469516
MAR08506	0.0036992168151469516
MAR08507	0.008741871681063187
MAR08508	0.008741871681063187
MAR08509	0.02019762338275996
MAR08511	0.0007212508867711196
MAR08512	6.870459549857372e-05
MAR08514	6.870459549857372e-05
MAR08516	0.0004752827508982063
MAR08517	9.557893847986104e-05
MAR04280	0.0009379209603345714
MAR00153	0.0009358811194465778
MAR03212	0.0014112369625000917
MAR03797	0.0009358811194465778
MAR03800	0.0004988370482135176
MAR04105	0.00011161610938580342
MAR04106	0.00011161610938580342
MAR04107	0.00011161610938580342
MAR04282	0.0002704751223497197
MAR04331	0.0009358811194465778
MAR04459	0.0009358811194465778
MAR04460	0.0009358811194465778
MAR04464	9.557893847986104e-05
MAR04497	0.010225283040281927
MAR04741	0.0002850964235314531
MAR08078	9.557893847986104e-05
MAR09803	9.557893847986104e-05
MAR09804	0.008741871681063187
MAR00718	0.00017019738577907028
MAR00719	0.0011408437437552528
MAR01434	0.0018761009078185485
MAR01436	0.0004996329348595181
MAR03163	0.0014112369625000917
MAR04461	0.0007206812760603088
MAR04604	0.0013312218846307222
MAR05351	0.0009379209603345714
MAR07709	0.00044314552141367004
MAR04052	0.009176280538432342
MAR04304	0.007493401570864843
MAR04350	0.00010388848042399874
MAR04351	0.0011153483846239043
MAR04352	0.0011153483846239043
MAR04354	0.00256984528243266
MAR04398	0.001467024719751553
MAR04404	0.0067744230509889005
MAR04473	0.005886151172764137
MAR04474	0.005886151172764137
MAR04476	0.0002111775509302818
MAR04477	0.002285612754782893
MAR04501	0.0067744230509889005
MAR04565	0.012834296639749328
MAR04567	0.0063811294969161
MAR09799	9.880537510422958e-05
MAR09800	5.9107838480537174e-05
MAR04623	0.001650066824022207
MAR04625	0.0022183374981554075
MAR04710	0.00256984528243266
MAR04841	0.0010061425608227893
MAR08074	0.00010388848042399874
MAR08653	0.0022183374981554075
MAR03998	0.004803792349062148
MAR04000	0.0019770723050294868
MAR04002	0.003344665570298883
MAR04004	0.003344665570298883
MAR04010	0.021619163913015663
MAR04081	0.021619163913015663
MAR04082	0.021619163913015663
MAR04012	0.0027669952939048683
MAR04014	0.0009021081095310643
MAR04020	0.006450766307019181
MAR04022	0.0019770723050294868
MAR04038	0.004150989643390672
MAR04040	0.005064819864019907
MAR04042	0.002486333532601393
MAR04046	0.001254643808995767
MAR04048	0.0009021081095310643
MAR04080	0.0018805749860274933
MAR04085	0.004171280655334273
MAR04086	0.004171280655334273
MAR04134	0.004803792349062148
MAR04135	0.006450766307019181
MAR04168	0.0039404407512355875
MAR04171	0.05706426026152021
MAR04290	6.42910581525901e-05
MAR04406	0.00044068292088656906
MAR04412	0.00030472061815415105
MAR04417	0.021619163913015663
MAR04418	0.0022398125823203554
MAR04419	0.0017754900863271022
MAR04421	0.05706426026152021
MAR04449	0.021619163913015663
MAR04450	0.021619163913015663
MAR04451	9.557893847986104e-05
MAR04452	0.0022398125823203554
MAR04453	0.001254643808995767
MAR04480	0.004614502211497646
MAR04481	0.0007035017538134134
MAR04482	0.0007035017538134134
MAR04486	0.008989582822628756
MAR04487	0.008989582822628756
MAR04488	0.008989582822628756
MAR04489	0.008989582822628756
MAR04492	0.008989582822628756
MAR04493	0.008989582822628756
MAR04495	0.008989582822628756
MAR04496	0.008989582822628756
MAR04518	3.6276342614344565e-05
MAR04519	9.935776492602702e-05
MAR04520	9.935776492602702e-05
MAR04573	0.05706426026152021
MAR04574	0.0013219950224381447
MAR04600	0.00269523615254042
MAR04602	0.021619163913015663
MAR04603	0.0013219950224381447
MAR04611	0.04939430991490541
MAR04612	0.04939430991490541
MAR04614	0.04939430991490541
MAR04615	0.04939430991490541
MAR04617	0.04939430991490541
MAR04618	0.04939430991490541
MAR04619	0.04939430991490541
MAR04621	0.04939430991490541
MAR04632	0.021619163913015663
MAR04646	9.935776492602702e-05
MAR04648	9.935776492602702e-05
MAR04649	9.935776492602702e-05
MAR04650	9.935776492602702e-05
MAR04651	0.0013219950224381447
MAR04663	0.0013219950224381447
MAR04664	0.0022398125823203554
MAR04694	0.0007035017538134134
MAR04695	0.0013219950224381447
MAR04705	0.021619163913015663
MAR04709	0.0013219950224381447
MAR04799	0.0017848201932103422
MAR04802	0.0017848201932103422
MAR04804	0.002546294509599376
MAR04808	0.0007597141960126019
MAR04810	0.002546294509599376
MAR04812	0.00030472061815415105
MAR04814	0.004150989643390672
MAR05301	0.0020062678373304436
MAR05353	0.006450766307019181
MAR06601	3.6276342614344565e-05
MAR06602	0.014320334611927306
