reaction	linear_coefficient
MAR03905	[np.float64(6.570980090049546e-05)]
MAR03907	[np.float64(6.570980090049546e-05)]
MAR04097	[np.float64(6.570980090049546e-05)]
MAR04099	[np.float64(6.570980090049546e-05)]
MAR04108	[np.float64(6.570980090049546e-05)]
MAR04133	[np.float64(6.570980090049546e-05)]
MAR04281	[2.911450790225425e-05]
MAR04388	[2.911450790225425e-05]
MAR04283	[np.float64(6.570980090049546e-05)]
MAR08357	[np.float64(6.570980090049546e-05)]
MAR04379	[3.011530066619965e-05]
MAR04301	[3.011530066619965e-05]
MAR04355	[np.float64(6.570980090049546e-05)]
MAR04358	[2.911450790225425e-05]
MAR04360	[np.float64(6.570980090049546e-05)]
MAR04363	[2.911450790225425e-05]
MAR04365	[2.911450790225425e-05]
MAR04368	[2.911450790225425e-05]
MAR04370	[np.float64(6.570980090049546e-05)]
MAR04371	[2.911450790225425e-05]
MAR04372	[np.float64(6.570980090049546e-05)]
MAR04373	[2.911450790225425e-05]
MAR04375	[np.float64(6.570980090049546e-05)]
MAR04377	[np.float64(6.570980090049546e-05)]
MAR04381	[np.float64(6.570980090049546e-05)]
MAR04391	[2.911450790225425e-05]
MAR04394	[np.float64(6.570980090049546e-05)]
MAR04396	[np.float64(6.570980090049546e-05)]
MAR04521	[np.float64(6.570980090049546e-05)]
MAR06412	[np.float64(6.570980090049546e-05)]
MAR07745	[np.float64(6.570980090049546e-05)]
MAR07747	[np.float64(6.570980090049546e-05)]
MAR08360	[np.float64(6.570980090049546e-05)]
MAR08652	[np.float64(6.570980090049546e-05)]
MAR08757	[0.0036518208217527232]
MAR03989	[np.float64(6.570980090049546e-05)]
MAR04122	[np.float64(6.570980090049546e-05)]
MAR04837	[np.float64(6.570980090049546e-05)]
MAR05395	[np.float64(6.570980090049546e-05)]
MAR05396	[np.float64(6.570980090049546e-05)]
MAR09727	[np.float64(6.570980090049546e-05)]
MAR05397	[0.004071677923888144]
MAR05398	[2.911450790225425e-05]
MAR05399	[np.float64(6.570980090049546e-05)]
MAR05400	[np.float64(6.570980090049546e-05)]
MAR05401	[2.911450790225425e-05]
MAR08568	[0.004935899558173957]
MAR08569	[0.004935899558173957]
MAR08570	[0.004935899558173957]
MAR08571	[0.004935899558173957]
MAR08572	[0.004935899558173957]
MAR08573	[0.004935899558173957]
MAR08574	[0.004935899558173957]
MAR08575	[0.004935899558173957]
MAR08576	[0.004935899558173957]
MAR08577	[0.004935899558173957]
MAR08578	[0.004935899558173957]
MAR08579	[0.004935899558173957]
MAR08581	[0.004935899558173957]
MAR08591	[np.float64(6.570980090049546e-05)]
